end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766547060,0,49,0,45,47,79,46,48,47,49,47,48,48,5,5
1766547120,45,61,41,59,48,81,48,63,48,69,48,69,60,4,4
1766547180,59,66,41,59,63,77,61,61,,,,,,0,4
1766547240,59,70,56,70,61,73,61,71,61,65,61,65,64,9,12
1766547300,70,71,61,71,71,81,68,72,70,75,70,75,74,44,49
1766547360,71,73,61,65,72,76,69,70,71,72,71,72,71,69,79
1766547420,65,75,65,75,70,85,70,81,71,72,71,72,72,2,79
1766547480,75,91,62,84,81,100,80,88,76,89,64,88,78,310,302
1766547540,84,91,81,86,88,92,85,89,,,,,,0,302
1766547600,86,92,82,88,89,99,89,96,89,95,89,92,94,117,344
1766547660,88,97,88,97,96,100,96,99,97,97,97,97,97,13,344
1766547720,97,97,97,97,99,99,98,99,,,,,,0,344
1766547780,97,97,97,97,99,99,99,99,,,,,,0,344
1766547840,97,97,97,97,99,99,99,99,99,99,99,99,99,30,344
1766547900,97,97,92,96,99,99,97,97,97,97,97,97,97,65,353
