end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1770055260,1,45,1,35,100,100,35,37,55,55,35,38,44,178,173
1770055320,35,42,26,33,37,44,28,36,33,40,27,33,32,2660,2005
1770055380,33,37,26,33,36,40,29,37,36,39,29,32,36,2168,3243
1770055440,33,34,21,28,37,37,23,30,33,33,22,28,24,2300,4702
1770055500,29,29,17,20,30,31,19,22,30,30,18,20,23,2320,5096
1770055560,20,20,13,13,22,23,14,14,21,21,13,14,15,2095,6992
1770055620,13,20,11,13,14,23,12,15,14,18,11,14,15,1307,7997
1770055680,13,15,6,9,15,16,8,10,15,15,7,9,10,710,8535
1770055740,9,9,7,8,10,10,9,10,10,10,8,8,9,640,9101
1770055800,8,9,4,7,10,11,5,10,10,10,4,8,7,1318,10155
1770055860,7,7,2,2,10,10,3,4,7,9,2,2,4,1682,11452
1770055920,2,2,0,0,4,5,1,1,2,3,1,1,1,3044,13592
1770055980,0,0,0,0,1,1,1,1,1,1,1,1,1,389,13510
1770056040,0,0,0,0,1,1,1,1,1,1,1,1,1,1494,14944
1770056100,0,0,0,0,1,1,1,1,1,1,1,1,1,551,15495
