end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1767453360,45,45,40,40,100,100,45,45,45,45,45,45,45,6,6
1767453420,40,44,27,43,45,53,40,44,44,44,39,43,43,159,150
1767453480,43,43,39,39,44,53,43,52,43,43,43,43,43,7,154
1767453540,39,39,27,29,52,52,33,34,38,38,29,29,34,64,184
1767453600,29,29,27,28,34,38,31,31,32,32,32,32,32,11,195
1767453660,28,99,0,44,31,100,31,49,31,99,9,49,32,296,298
1767453720,44,70,1,70,49,100,49,75,49,66,49,66,58,232,465
1767453780,70,81,1,73,75,100,74,80,81,81,75,80,79,243,497
1767453840,73,73,50,61,80,80,61,66,73,74,61,74,66,124,437
1767453900,61,63,50,63,66,74,60,68,61,74,60,67,66,177,492
1767453960,63,89,50,87,68,98,68,88,78,89,77,88,84,221,605
1767454020,87,94,71,94,88,98,88,96,88,96,88,96,91,368,828
1767454080,94,99,90,99,96,100,96,100,98,99,97,99,98,284,887
1767454140,99,99,99,99,100,100,100,100,99,99,99,99,99,118,901
1767454200,99,99,98,98,100,100,100,100,99,99,99,99,99,937,1836
