end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772603160,1,47,1,36,100,100,30,38,47,48,8,36,36,17252,12164
1772603220,36,54,35,53,38,55,36,54,36,55,36,54,49,8713,13307
1772603280,53,68,51,68,54,69,53,69,53,68,51,68,61,9319,17278
1772603340,68,69,38,38,69,70,39,39,68,69,38,39,57,8306,16172
1772603400,38,38,25,35,39,39,27,37,38,39,25,37,32,10030,17634
1772603460,35,42,29,41,37,44,31,44,37,44,30,41,38,7716,21768
1772603520,41,45,33,34,44,46,35,35,44,46,35,36,39,6252,22448
1772603580,34,47,32,41,35,50,34,43,34,49,32,43,42,4753,24544
1772603640,41,70,34,67,43,72,36,70,44,72,34,70,58,12912,25954
1772603700,67,92,62,91,70,94,64,94,70,94,62,94,87,26878,30065
1772603760,91,92,76,76,94,94,77,77,94,94,77,77,85,10343,32376
1772603820,76,82,72,82,77,85,73,83,77,84,73,82,80,10893,33969
1772603880,82,92,81,89,83,93,83,90,82,93,82,87,89,12425,37642
1772603940,89,96,49,90,90,98,50,91,90,97,50,90,85,41732,48180
1772604000,90,99,89,99,91,100,91,100,90,99,89,98,98,39330,68944
