ticker,result,open_time,close_time
KXBTC15M-26MAR191330-30,yes,2026-03-19T17:15:00Z,2026-03-19T17:30:00Z
KXBTC15M-26MAR191315-15,no,2026-03-19T17:00:00Z,2026-03-19T17:15:00Z
KXBTC15M-26MAR191300-00,no,2026-03-19T16:45:00Z,2026-03-19T17:00:00Z
KXBTC15M-26MAR191245-45,no,2026-03-19T16:30:00Z,2026-03-19T16:45:00Z
KXBTC15M-26MAR191230-30,yes,2026-03-19T16:15:00Z,2026-03-19T16:30:00Z
KXBTC15M-26MAR191215-15,no,2026-03-19T16:00:00Z,2026-03-19T16:15:00Z
KXBTC15M-26MAR191200-00,yes,2026-03-19T15:45:00Z,2026-03-19T16:00:00Z
KXBTC15M-26MAR191145-45,no,2026-03-19T15:30:00Z,2026-03-19T15:45:00Z
KXBTC15M-26MAR191130-30,no,2026-03-19T15:15:00Z,2026-03-19T15:30:00Z
KXBTC15M-26MAR191115-15,yes,2026-03-19T15:00:00Z,2026-03-19T15:15:00Z
KXBTC15M-26MAR191100-00,yes,2026-03-19T14:45:00Z,2026-03-19T15:00:00Z
KXBTC15M-26MAR191045-45,yes,2026-03-19T14:30:00Z,2026-03-19T14:45:00Z
KXBTC15M-26MAR191030-30,no,2026-03-19T14:15:00Z,2026-03-19T14:30:00Z
KXBTC15M-26MAR191015-15,no,2026-03-19T14:00:00Z,2026-03-19T14:15:00Z
KXBTC15M-26MAR191000-00,yes,2026-03-19T13:45:00Z,2026-03-19T14:00:00Z
KXBTC15M-26MAR190945-45,yes,2026-03-19T13:30:00Z,2026-03-19T13:45:00Z
KXBTC15M-26MAR190930-30,yes,2026-03-19T13:15:00Z,2026-03-19T13:30:00Z
KXBTC15M-26MAR190915-15,no,2026-03-19T13:00:00Z,2026-03-19T13:15:00Z
KXBTC15M-26MAR190900-00,no,2026-03-19T12:45:00Z,2026-03-19T13:00:00Z
KXBTC15M-26MAR190845-45,yes,2026-03-19T12:30:00Z,2026-03-19T12:45:00Z
KXBTC15M-26MAR190830-30,no,2026-03-19T12:15:00Z,2026-03-19T12:30:00Z
KXBTC15M-26MAR190815-15,no,2026-03-19T12:00:00Z,2026-03-19T12:15:00Z
KXBTC15M-26MAR190800-00,no,2026-03-19T11:45:00Z,2026-03-19T12:00:00Z
KXBTC15M-26MAR190745-45,no,2026-03-19T11:30:00Z,2026-03-19T11:45:00Z
KXBTC15M-26MAR190730-30,yes,2026-03-19T11:15:00Z,2026-03-19T11:30:00Z
KXBTC15M-26MAR190715-15,yes,2026-03-19T11:00:00Z,2026-03-19T11:15:00Z
KXBTC15M-26MAR190700-00,no,2026-03-19T10:45:00Z,2026-03-19T11:00:00Z
KXBTC15M-26MAR190645-45,no,2026-03-19T10:30:00Z,2026-03-19T10:45:00Z
KXBTC15M-26MAR190630-30,no,2026-03-19T10:15:00Z,2026-03-19T10:30:00Z
KXBTC15M-26MAR190615-15,no,2026-03-19T10:00:00Z,2026-03-19T10:15:00Z
