end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773893760,50,56,1,54,100,100,53,57,56,56,56,56,56,5,5
1773893820,54,57,37,48,57,74,47,53,57,57,49,49,52,5,5
1773893880,48,58,37,56,53,74,53,61,56,61,56,61,57,7,10
1773893940,56,56,46,49,61,72,51,54,52,72,52,72,63,40,41
1773894000,49,51,20,38,54,67,35,43,50,50,35,35,46,9,50
1773894060,38,38,20,26,43,55,28,30,,,,,,0,50
1773894120,26,34,20,22,30,70,22,23,26,26,26,26,26,2,52
1773894180,22,26,6,17,23,40,16,21,23,23,17,17,21,32,64
1773894240,17,23,15,18,21,36,19,22,,,,,,0,64
1773894300,18,19,0,3,22,35,3,3,6,13,4,13,7,144,182
1773894360,3,3,1,1,3,13,1,13,3,13,1,13,6,14,195
1773894420,1,1,1,1,13,13,13,13,13,13,13,13,13,14,209
1773894480,1,1,0,0,13,13,1,1,1,1,1,1,1,10,219
1773894540,0,0,0,0,1,1,1,1,1,1,1,1,1,9,228
1773894600,0,0,0,0,1,1,0,0,0,0,0,0,0,254,482
