ticker,result,open_time,close_time
KXDOGE15M-26MAR192030-30,no,2026-03-20T00:15:00Z,2026-03-20T00:30:00Z
KXDOGE15M-26MAR192015-15,yes,2026-03-20T00:00:00Z,2026-03-20T00:15:00Z
KXDOGE15M-26MAR192000-00,yes,2026-03-19T23:45:00Z,2026-03-20T00:00:00Z
KXDOGE15M-26MAR191945-45,no,2026-03-19T23:30:00Z,2026-03-19T23:45:00Z
KXDOGE15M-26MAR191930-30,no,2026-03-19T23:15:00Z,2026-03-19T23:30:00Z
KXDOGE15M-26MAR191915-15,yes,2026-03-19T23:00:00Z,2026-03-19T23:15:00Z
KXDOGE15M-26MAR191900-00,yes,2026-03-19T22:45:00Z,2026-03-19T23:00:00Z
KXDOGE15M-26MAR191845-45,no,2026-03-19T22:30:00Z,2026-03-19T22:45:00Z
KXDOGE15M-26MAR191830-30,yes,2026-03-19T22:15:00Z,2026-03-19T22:30:00Z
KXDOGE15M-26MAR191815-15,no,2026-03-19T22:00:00Z,2026-03-19T22:15:00Z
KXDOGE15M-26MAR191800-00,yes,2026-03-19T21:45:00Z,2026-03-19T22:00:00Z
KXDOGE15M-26MAR191745-45,yes,2026-03-19T21:30:00Z,2026-03-19T21:45:00Z
KXDOGE15M-26MAR191730-30,no,2026-03-19T21:15:00Z,2026-03-19T21:30:00Z
KXDOGE15M-26MAR191715-15,yes,2026-03-19T21:00:00Z,2026-03-19T21:15:00Z
KXDOGE15M-26MAR191700-00,yes,2026-03-19T20:45:00Z,2026-03-19T21:00:00Z
KXDOGE15M-26MAR191645-45,yes,2026-03-19T20:30:00Z,2026-03-19T20:45:00Z
KXDOGE15M-26MAR191630-30,yes,2026-03-19T20:15:00Z,2026-03-19T20:30:00Z
KXDOGE15M-26MAR191615-15,yes,2026-03-19T20:00:00Z,2026-03-19T20:15:00Z
KXDOGE15M-26MAR191600-00,no,2026-03-19T19:45:00Z,2026-03-19T20:00:00Z
KXDOGE15M-26MAR191545-45,yes,2026-03-19T19:30:00Z,2026-03-19T19:45:00Z
KXDOGE15M-26MAR191530-30,no,2026-03-19T19:15:00Z,2026-03-19T19:30:00Z
KXDOGE15M-26MAR191515-15,yes,2026-03-19T19:00:00Z,2026-03-19T19:15:00Z
KXDOGE15M-26MAR191500-00,yes,2026-03-19T18:45:00Z,2026-03-19T19:00:00Z
KXDOGE15M-26MAR191445-45,no,2026-03-19T18:30:00Z,2026-03-19T18:45:00Z
KXDOGE15M-26MAR191430-30,no,2026-03-19T18:15:00Z,2026-03-19T18:30:00Z
