end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1765770360,49,59,0,36,100,100,52,57,59,59,59,59,59,1,1
1765770420,36,44,0,35,57,100,52,56,52,52,52,52,52,1,2
1765770480,35,49,0,37,56,100,56,58,68,68,68,68,68,4,6
1765770540,37,37,0,29,58,100,50,50,,,,,,0,6
1765770600,29,32,1,32,50,100,47,54,,,,,,0,6
1765770660,32,42,28,30,54,100,50,50,,,,,,0,6
1765770720,30,30,3,23,50,100,41,46,,,,,,0,6
1765770780,23,26,22,22,46,100,26,32,,,,,,0,6
1765770840,22,22,0,0,32,100,15,15,,,,,,0,6
1765770900,0,4,0,1,15,92,15,20,21,21,15,15,18,31,37
1765770960,1,4,0,0,20,20,15,15,20,20,20,20,20,23,60
1765771020,0,0,0,0,15,17,14,17,,,,,,0,60
1765771080,0,0,0,0,17,17,10,10,,,,,,0,60
1765771140,0,0,0,0,10,15,10,10,,,,,,0,60
1765771200,0,0,0,0,10,30,10,30,,,,,,0,60
